Code,ISIN,DelistingDate,Industry
8324,JP3483800003,2018/09/26,Banks
8325,JP3841000007,2018/09/26,Banks
8327,JP3658000009,2016/09/28,Banks
8332,JP3955400001,2016/03/29,Banks
8333,JP3394200004,2016/09/28,Banks
8374,JP3881200004,2018/03/28,Banks
8379,JP3797000001,2020/09/29,Banks
8396,JP3392200006,2019/03/27,Banks
8423,JP3802820005,2019/02/01,Other Financing Business
8519,JP3860260003,2018/02/01,Other Financing Business
8529,JP3483400002,2018/03/28,Banks
8536,JP3783470002,2016/03/29,Banks
8543,JP3905850008,2018/03/28,Banks
8545,JP3227600008,2018/03/28,Banks
8589,JP3122550001,2020/11/27,Other Financing Business
8625,JP3453800009,2017/04/28,Securities & Commodity Futures
8648,US0605051046,2017/05/01,Banks
8682,US61744U1060,2019/04/04,-
8685,US0268747849,2018/12/03,Insurance
8686,US0010551028,2019/10/03,Insurance
8692,JP3482800004,2020/07/29,Securities & Commodity Futures
8703,JP3218850000,2019/08/29,Securities & Commodity Futures
8709,JP3289700001,2020/09/29,Securities & Commodity Futures
8710,US1729674242,2016/08/29,Banks
8721,JP3046160002,2017/07/26,-
8728,JP3869940001,2017/01/20,Securities & Commodity Futures
8729,JP3435350008,2020/08/31,Insurance
8787,JP3944380009,2018/04/25,Other Financing Business
8840,JP3481400004,2019/01/22,Real Estate
8851,JP3100200009,2018/10/12,Real Estate
8870,JP3409200007,2017/06/02,Real Estate
8885,JP3965200003,2020/06/29,Real Estate
8933,JP3165690003,2019/01/08,Real Estate
8973,JP3046280008,2018/04/25,-
8982,JP3046370007,2016/08/29,-
9133,JP3560500005,2018/06/22,Marine Transportation
9277,JP3432310005,2020/04/17,Retail Trade
9370,JP3946600008,2018/01/29,Warehousing & Harbor Transportation Services
9373,JP3670500002,2017/05/02,Services
9437,JP3165650007,2020/12/25,Information & Communication
9607,JP3105300002,2016/12/28,Information & Communication
9608,JP3806750000,2016/12/28,Services
9638,JP3393600006,2016/02/02,Information & Communication
9674,JP3207400007,2019/11/01,Services
9680,JP3249400007,2016/10/14,Services
9747,JP3109800007,2018/03/16,Services
9748,JP3165400007,2016/08/22,Information & Communication
9764,JP3264000005,2017/12/29,Construction
9792,JP3660900006,2020/11/05,Services
9826,JP3390350001,2020/04/15,Retail Trade
9836,JP3969500002,2020/01/07,Wholesale Trade
9855,JP3272200001,2016/11/28,Retail Trade
9892,JP3793600002,2016/06/16,Wholesale Trade
9898,JP3389520002,2016/11/01,Wholesale Trade
9899,JP3336200005,2019/07/30,Retail Trade
9943,JP3297350005,2020/02/18,Retail Trade
9957,JP3778300008,2019/03/27,Wholesale Trade
9992,JP3970800003,2019/08/29,Wholesale Trade
